prize,race_id,date,venue,race_no,surface,distance,going,horse_ratings,race_class,sec_time,win_combination
625000,1314,1/31/1999,ST,7,0,1400,GOOD,60-40,4,13.73,4
850000,1315,1/31/1999,ST,8,1,1200,FAST,80-60,3,23.47,7
850000,1316,1/31/1999,ST,9,0,1400,GOOD,80-60,3,13.81,10
850000,1317,1/31/1999,ST,10,0,1600,GOOD,80-60,3,24.53,14
1150000,1318,1/31/1999,ST,11,0,1400,GOOD,100-80,2,13.81,14
850000,1325,2/3/1999,HV,7,0,1800,YIELDING,80-60,3,13.75,3
1150000,1326,2/3/1999,HV,8,0,1800,YIELDING,100-80,2,13.58,9
625000,1327,2/7/1999,ST,1,0,1000,GOOD TO YIELDING,60-40,4,12.98,10
625000,1328,2/7/1999,ST,2,0,1200,GOOD TO YIELDING,60-40,4,23.73,7
625000,1340,2/10/1999,HV,4,0,1200,GOOD TO FIRM,60-40,4,23.8,5
485000,1346,2/14/1999,ST,2,1,1200,GOOD,40-10,5,23.83,9
625000,1347,2/14/1999,ST,3,0,1200,YIELDING,60-40,4,24.19,13
625000,1348,2/14/1999,ST,4,0,1200,YIELDING,60-40,4,24.3,2
850000,1349,2/14/1999,ST,5,0,2000,YIELDING,80-60,3,26.36,12
625000,1350,2/14/1999,ST,6,1,1650,WET FAST,60-40,4,27.75,3
625000,1351,2/14/1999,ST,7,0,1400,YIELDING TO SOFT,65-40,4,13.59,6
850000,1353,2/14/1999,ST,9,0,1200,SOFT,80-60,3,24.5,2
1400000,1360,2/17/1999,HV,7,0,1200,GOOD TO YIELDING,105-80,1,23.66,3
850000,1361,2/17/1999,HV,8,0,1200,GOOD TO YIELDING,80-60,3,24.05,8
625000,1362,2/21/1999,ST,1,0,1200,GOOD,60-40,4,23.86,11
485000,1363,2/21/1999,ST,2,1,1800,GOOD,40-0,5,13.78,7
1400000,1380,2/24/1999,HV,8,0,1800,GOOD TO YIELDING,105-80,1,13.67,2
850000,1389,2/27/1999,ST,9,0,1400,GOOD,80-60,3,13.7,3
1150000,1390,2/27/1999,ST,10,0,1600,GOOD,100-80,2,24.19,11
485000,1392,3/3/1999,ST,2,0,1800,GOOD TO YIELDING,40-0,5,13.97,5
1150000,1411,3/7/1999,HV,10,0,1650,GOOD TO FIRM,100-80,2,27.16,1
625000,1413,3/14/1999,ST,2,0,1200,YIELDING,60-40,4,24.31,4
625000,1414,3/14/1999,ST,3,0,1400,YIELDING,60-40,4,13.81,3
485000,1415,3/14/1999,ST,4,1,1650,WET SLOW,40-0,5,28.3,13
625000,1416,3/14/1999,ST,5,1,1650,WET SLOW,60-40,4,27.89,6
625000,1417,3/14/1999,ST,6,0,1200,YIELDING TO SOFT,60-40,4,24.16,8
850000,1422,3/14/1999,ST,11,0,1400,YIELDING TO SOFT,85-60,3,13.58,8
625000,1423,3/18/1999,ST,1,0,1000,GOOD,60-40,4,13.38,1
850000,1431,3/18/1999,ST,9,0,1400,GOOD,80-60,3,13.69,7
485000,1435,3/21/1999,ST,3,0,1600,GOOD TO FIRM,40-0,5,25.11,8
625000,1436,3/21/1999,ST,4,1,1200,FAST,60-40,4,23.75,2
625000,1437,3/21/1999,ST,5,0,1400,GOOD TO FIRM,60-40,4,13.69,4
625000,1438,3/21/1999,ST,6,0,1800,GOOD TO FIRM,60-40,4,13.97,11
1150000,1439,3/21/1999,ST,7,1,1650,FAST,100-80,2,28.09,8
850000,1440,3/21/1999,ST,8,0,1600,GOOD TO FIRM,80-60,3,24.88,4
850000,1441,3/21/1999,ST,9,1,1200,FAST,80-60,3,24.02,4
1750000,1442,3/21/1999,ST,10,0,1000,GOOD TO FIRM,110-85,1,13.05,11
850000,1443,3/21/1999,ST,11,0,1400,GOOD TO FIRM,80-60,3,13.72,5
485000,1444,3/24/1999,HV,1,0,1800,GOOD,40-0,5,13.84,12
625000,1445,3/24/1999,HV,2,0,1650,GOOD TO FIRM,60-40,4,27.2,11
625000,1446,3/24/1999,HV,3,0,1200,GOOD TO FIRM,65-40,4,23.53,10
625000,1447,3/24/1999,HV,4,0,1650,GOOD TO FIRM,60-40,4,27.47,9
625000,1452,3/28/1999,ST,1,0,1200,GOOD,60-40,4,24,2
625000,1453,3/28/1999,ST,2,0,1200,GOOD,60-40,4,23.92,2
1400000,1470,3/31/1999,HV,8,0,1200,GOOD TO FIRM,105-80,1,23.19,4
1750000,1474,5/23/1999,ST,4,0,1200,GOOD,120-95,1,24.53,7
500000,1475,5/23/1999,ST,5,0,1400,GOOD,40-15,5,13.75,7
640000,1481,5/26/1999,HV,1,0,1000,GOOD,60-40,4,13.05,5
500000,1482,5/26/1999,HV,2,0,1200,GOOD,40-15,5,23.72,1
640000,1487,5/26/1999,HV,7,0,1650,GOOD,60-40,4,27.56,10
850000,1488,5/26/1999,HV,8,0,1000,SOFT,80-60,3,12.75,1
500000,1489,5/30/1999,ST,1,0,1000,GOOD,40-15,5,13.58,2
640000,1490,5/30/1999,ST,2,0,1400,GOOD,60-40,4,13.95,8
640000,1491,5/30/1999,ST,3,0,1000,GOOD TO YIELDING,60-40,4,13.45,1
500000,1492,5/30/1999,ST,4,0,1600,GOOD TO YIELDING,40-15,5,25.11,1
640000,1493,5/30/1999,ST,5,1,1200,WET SLOW,60-40,4,23.75,5
640000,1494,5/30/1999,ST,6,0,1400,GOOD TO YIELDING,60-40,4,13.66,7
850000,1495,5/30/1999,ST,7,0,1000,GOOD TO YIELDING,80-60,3,13.08,2
850000,1496,5/30/1999,ST,8,1,1200,WET SLOW,85-60,3,23.48,8
850000,1497,5/30/1999,ST,9,0,1400,GOOD TO YIELDING,80-60,3,13.77,4
